An Awfully Big Adventure;An Awfully Big Adventure;;
The Ax 1997;Le Couperet;;
Ayat-Ayat Cinta;Ayat-Ayat Cinta;;
Baby Love;Baby Love;;
Babylon Babies;Babylon A.D.;;
Back Street;Back Street;Back Street;Back Street;;
Back When We Were Grownups;Back When We Were Grownups;;
Eric Ambler;Background to Danger;;
Bad Girl 1928;Bad Girl 1931;;
The Bad Seed;The Bad Seed;The Bad Seed;The Bad Seed;;
Baise-moi;Baise-moi;;
The Bait;The Bait;;
The Ballad of Cat Ballou;Cat Ballou;;
The Ballad of the Flim-Flam Man;The Flim-Flam Man;;
The Ballad of the Running Man ;The Running Man;;
Balzac et la petite tailleuse chinoise;Balzac and the Little Chinese Seamstress;;
Band of Angels;Band of Angels;;
Bank Shot;Bank Shot;;
Banner in the Sky;Third Man on the Mountain;;
The Barefoot Mailman;The Barefoot Mailman;;
Basil of Baker Street;The Great Mouse Detective;;
Bastard Out of Carolina;Bastard Out of Carolina;;
Battle Cry;Battle Cry;;
The Battle of the Villa Fiorita;The Battle of the Villa Fiorita;;
Battle Royale;Battle Royale;Battle Royale II: Requiem;;
Battlefield Earth;Battlefield Earth;;
Be Cool;Be Cool;;
Be Ready with Bells and Drums;A Patch of Blue;;
Be Still, My Love;The Accused;;
The Beach;The Beach;;
Beaches;Beaches;;
The Beardless Warriors;The Young Warriors;;
The Beast;The Beast;;
The Beast Master;The Beastmaster;Beastmaster 2: Through the Portal of Time;Beastmaster III: The Eye of Braxus;;
The Beast Must Die;La Bestia debe morir;The Beast Must Die;;
The Beast Within;The Beast Within;;
Beat the Devil;Beat the Devil;;
Beau Brocade;Beau Brocade;;
Beau Geste;Beau Geste;Beau Hunks;Beau Geste;Beau Geste;Follow That Camel;The Last Remake of Beau Geste;Beau Geste;;
Beautiful Creatures;Beautiful Creatures;;
Bedelia;Bedelia;;
Bee Season;Bee Season;;
Beer and Blood: The Story of a Couple o' Wrong Guys;The Public Enemy;;
Before the Fact;Suspicion;;
Behind That Curtain;Behind That Curtain;;
Being There;Being There;;
Bel Ami;Bel Ami;The Private Affairs of Bel Ami;Bel Ami;Bel Ami;;
Belle de Jour;Belle de Jour;;
Belli Moda;Belli Moda;;
Bellman and True;Bellman and True;The Real McCoy;;
Beloved;Beloved;;
Belphegor;Belphegor, Phantom of the Louvre;;
Ben-Hur: A Tale of the Christ;Ben Hur;Ben-Hur;Ben-Hur;Ben Hur;Ben Hur;;
Benjamin Blake;Son of Fury: The Story of Benjamin Blake;Treasure of the Golden Condor;;
Benzina;Gasoline;;
Beowulf;Beowulf;;
Berlin Alexanderplatz;Berlin - Alexanderplatz;Berlin Alexanderplatz;;
La bestia nel cuore;La bestia nel cuore;;
La Bete humaine;Die Bestie im Menschen;La Bete Humaine;Human Desire;La Bestia humana;Cruel Train;;
The Betsy;The Betsy;;
Beyond the Forest: The Story of a Man and Woman Destroyed by Love;Beyond the Forest;;
Beyond This Place;Beyond This Place;Beyond This Place;Kala Pani;Web of Evidence;Poola Rangadu;;
The BFG;The BFG;;
Bhowani Junction;Bhowani Junction;;
Bid Time Return;Somewhere in Time;;
The Beginning and the End;Bidaya wa Nihaya;;
The Big Bounce;The Big Bounce;The Big Bounce;;
The Big Clock;The Big Clock;No Way Out;;
Big Fish: A Novel of Mythic Proportions;Big Fish;;
The Big Fisherman;The Big Fisherman;;
The Big Heat;The Big Heat;;
Big Red;Big Red;;
The Big Sleep;The Big Sleep;The Big Sleep;The Big Lebowski;;
Big Trouble;Big Trouble;;
Biggles;Biggles: Adventures in Time;It Couldn't Happen Here;;
Billion-Dollar Brain;Billion Dollar Brain;;
Billy Bathgate;Billy Bathgate;;
Billy Liar;Billy Liar;;
Birdy;Birdy;;
The Bishop's Wife;The Bishop's Wife;;
Biruma no tategoto;Biruma no tategoto;Biruma no tatekoto;;
The Biscuit Eater;The Biscuit Eater;The Biscuit Eater;;
The Bitch;The Bitch;;
Bitter Moon;Bitter Moon;;
The Bitter Tea of General Yen;The Bitter Tea of General Yen;;
Black Alibi;The Leopard Man;;
The Black Angel;Black Angel;;
The Black Arrow: A Tale of the Two Roses;The Black Arrow;The Black Arrow;The Black Arrow;Black Arrow;Chyornaya strela;The Black Arrow;;
Black Beauty;Black Beauty;Black Beauty;Black Beauty;Courage of Black Beauty;Black Beauty;Black Beauty;Black Beauty;Black Beauty;;
The Black Camel;The Black Camel;;
The Black Curtain;Street of Chance;;
The Black Dahlia;The Black Dahlia;;
Black Narcissus;Black Narcissus;;
The Black Path of Fear;The Chase;;
The Black Rose;The Black Rose;;
The Black Stallion;The Black Stallion;The Black Stallion;The Black Stallion Returns;The Young Black Stallion;;
Black Sunday;Black Sunday;;
The Blackboard Jungle;Blackboard Jungle;;
Blackbeard's Ghost;Blackbeard's Ghost;;
The Blank Wall;The Reckless Moment;The Deep End;;
Blaze of Noon;Blaze of Noon;;
Bleak House;Bleak House;Bleak House;Bleak House;Bleak House;Bleak House;Bleak House;;
Bless the Beasts and Children;Bless the Beasts and Children;;
Bless the Child;Bless the Child;;
The Blessing;Count Your Blessings;;
Blood and Chocolate;Blood and Chocolate;;
Blood Brother;Broken Arrow;;
Blood on the Moon;Blood on the Moon;;
Blood on the Moon;Cop;;
The Blood Oranges;The Blood Oranges;;
Blood Work;Blood Work;;
Blue Fin;Blue Fin;;
The Blue Lagoon;The Blue Lagoon;The Blue Lagoon;The Blue Lagoon;;
Blueprint;Blueprint;;
The Body;The Body;;
The Body Snatchers;Invasion of the Body Snatchers;Invasion of the Body Snatchers;Body Snatchers;The Invasion;Invasion of the Pod People;;
Bombaiyer Bombete;Bombaiyer Bombete;;
The Bonfire of the Vanities;The Bonfire of the Vanities;;
Bonjour Tristesse;Bonjour Tristesse;;
Boogiepop and Others;Boogiepop and Others;;
The Book of Daniel;Daniel;;
Das Boot;Das Boot;;
The Border Jumpers;Man of the West;;
The Border Legion;The Border Legion;The Last Round-Up;;
Border Town;Bordertown;;
The Borrowers;The Borrowers;The Borrowers;The Borrower Arrietty;;
The Bostonians;The Bostonians;;
The Bourne Identity;Bourne;The Bourne Identity;
The Bourne Supremacy;The Bourne Supremacy;
The Bourne Ultimatum;The Bourne Ultimatum;
The Bourne Legacy;The Bourne Legacy;
The Boy in the Striped Pyjamas;The Boy in the Striped Pyjamas;;
Boy on a Dolphin;Boy on a Dolphin;;
The Boys from Brazil;The Boys from Brazil;;
The Bravados;The Bravados;;
The Brave Bulls;The Brave Bulls;;
The Brave Cowboy;Lonely Are the Brave;;
The Brave Little Toaster: A Bedtime Story for Small Appliances;The Brave Little Toaster;The Brave Little Toaster Goes to Mars;The Brave Little Toaster to the Rescue;;
Brave New World;Brave New World;Brave New World;Brave New World;;
Breakfast of Champions;Breakfast of Champions;;
Breakfast on Pluto;Breakfast on Pluto;;
Breakfast with Scot;Breakfast with Scot;;
Breakheart Pass;Breakheart Pass;;
Breaking Smith's Quarter Horse;Smith!;;
The Bride Wore Black;The Bride Wore Black;;
Brideshead Revisited, The Sacred and Profane Memories of Captain Charles Ryder;Brideshead Revisited;Brideshead Revisited;;
The Bridge of San Luis Rey;The Bridge of San Luis Rey;The Bridge of San Luis Rey;The Bridge of San Luis Rey;;
Bridge to Terabithia;Bridge to Terabithia;Bridge to Terabithia;;
The Bridges at Toko-Ri;The Bridges at Toko-Ri;;
The Bridges of Madison County;The Bridges of Madison County;;
Bridget Jones;Bridget Jones;Bridget Jones's Diary;Bridget Jones: The Edge of Reason;;
Bright Lights, Big City;Bright Lights, Big City;;
Brighton Rock;Brighton Rock;Brighton Rock;;
Bringing Out the Dead;Bringing Out the Dead;;
Brothers by Blood;Elling;Mors Elling;Elsk meg i morgen;;
Broken April;Behind the Sun;;
Brothers in Law;Brothers in Law;;
The Brothers Karamazov;The Brothers Karamazov;The Brothers Karamazov;;
Brown's Requiem;Brown's Requiem;;
Buddwing;Mister Buddwing;;
Buffalo Girls;Buffalo Girls;;
Buffalo Soldiers;Buffalo Soldiers;;
Bump in the Night;Bump in the Night;;
The Burglar in the Closet;Burglar;;
El burlador de Sevilla y convidado de piedra;Don Juan 1926;;
The Burning Hills;The Burning Hills;;
The Burning Shore;;
Burton and Speke;Mountains of the Moon;;
The Busy Body;The Busy Body;;
But Gentlemen Marry Brunettes;Gentlemen Marry Brunettes;;
BUtterfield 8;BUtterfield 8;;
By the Great Horn Spoon!;The Adventures of Bullwhip Griffin;;
The Caine Mutiny;The Caine Mutiny;The Caine Mutiny Court-Martial;The Caine Mutiny Court-Martial;;
Cal;Cal;;
Call for the Dead;The Deadly Affair;;
Call It Treason;Decision Before Dawn;;
The Call of the Wild;The Call of the Wild;The Call of the Wild;What a Nightmare, Charlie Brown!;The Call of the Wild;The Call of the Wild: Dog of the Yukon;Call of the Wild;Disney's The Call of the Wild;;
Candy: A Novel of Love and Addiction;Candy;;
Canterbury Tales;Canterbury Tales;;
Canyon Passage;Canyon Passage;;
Captain Blood: His Odyssey;Captain Blood;Captain Blood;Fortunes of Captain Blood;Captain Pirate;The Son of Captain Blood;Odyssey of Captain Blood;;
A Captive in the Land;A Captive in the Land;;
The Captives;The Tall T;;
Car, Boy, Girl;Herbie, the Love Bug;The Love Bug;Herbie Rides Again;Herbie Goes to Monte Carlo;Herbie Goes Bananas;The Love Bug;Herbie: Fully Loaded;;
The Card;The Card;;
Careful, He Might Hear You;Careful, He Might Hear You;;
Carlito's Way;Carlito's Way;Carlito's Way: Rise to Power;;
The Carpetbaggers;The Carpetbaggers;Nevada Smith;Nevada Smith Tv;;
The House of the Spirits;The House of the Spirits;;
A Case of Need;The Carey Treatment;;
Les carnets du Major Thompson;The French, They Are a Funny Race;;
Case File: FBI;Down Three Dark Streets;;
Cash McCall;Cash McCall;;
Casino Royale;Casino Royale;Casino Royale;;
The Castle;The Castle;The Castle;The Land Surveyor;Das Schloss;;
Car Chaser;Cat Chaser;;
The Cat That Walked by Himself;The Cat Who Walked by Herself;;
Catch-22;Catch-22;;
Catlow;Catlow;;
The Caveman's Valentine;The Caveman's Valentine;;
Les cerfs-volants;Les cerfs-volants;;
The Woman Who Was No More;Les Diaboliques;Diabolique;;
The Cement Garden;The Cement Garden;;
Centennial;Centennial;;
A Certain Mr. Takahashi;The Pianist;;
La chair du maitre;Vers le Sud;;
The Chamber;The Chamber;;
La chambre bleue;La HabitaciÃ³n azul;;
Champagne;Champagne;;
The Chancellor Manuscript;The Chancellor Manuscript;;
Changhen Ge;Everlasting Regret;;
Charlie and the Chocolate Factory;Willy Wonka and the Chocolate Factory;Charlie and the Chocolate Factory;;
Charlie Chan Carries On;Charlie Chan Carries On;Charlie Chan's Murder Cruise;;
Charlie M;Charlie Muffin;;
Charlotte Gray;Charlotte Gray;;
Charlotte's Web;Charlotte's Web;Charlotte's Web 2: Wilbur's Great Adventure;Charlotte's Web;;
Chateau Bon Vivant;Snowball Express;;
The Cheetah Girls;The Cheetah Girls;The Cheetah Girls;The Cheetah Girls 2;The Cheetah Girls: One World;;
The Children of Light;The Damned;;
The Children of Men;Children of Men;;
Children of Pleasure;The Crash;;
The Children of Sanchez;The Children of Sanchez;;
Children of the Covered Wagon;Westward Ho, the Wagons!;;
China Seas;China Seas;;
The Chinese Parrot;The Chinese Parrot;;
Chocolat;Chocolat;;
The Chocolate War;The Chocolate War;;
Christine;Christine;;
Christmas at Candleshoe;Candleshoe;;
Christmas at Twenty-Nine;Singles;;
A Christmas Gift;Kelly and Dolly: A Christmas to Remember;;
Christmas Holiday;Christmas Holiday;;
The Christmas Shoes;The Christmas Shoes;The Christmas Blessing;The Christmas Hope;;
Christopher Strong;Christopher Strong;;
The Lion, the Witch and the Wardrobe;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;The Lion, the Witch and the Wardrobe;
Prince Caspian;The Chronicles of Narnia: Prince Caspian;Prince Caspian and The Voyage of the Dawn Treader;
The Silver Chair;The Silver Chair 1990;
The Voyage of the Dawn Treader;The Chronicles of Narnia: The Voyage of the Dawn Treader;Prince Caspian and The Voyage of the Dawn Treader;
The Magician's Nephew;The Chronicles of Narnia: The Magician's Nephew;
The Chronicles of Prydain;The Black Cauldron;;
The Cider House Rules;The Cider House Rules;;
Cimarron;Cimarron;Cimarron;;
The Cincinnati Kid;The Cincinnati Kid;;
Cinderella Liberty;Cinderella Liberty;;
Cinq semaines en ballon;Flight of the Lost Balloon;Five Weeks in a Balloon;;
The Circus of Dr. Lao;7 Faces of Dr. Lao;;
Cirque Du Freak: The Saga of Darren Shan;Cirque du Freak: The Vampire's Assistant;;
The Citadel;The Citadel;;
The City of Ember;City of Ember;;
City of God;City of God;;
Clair de femme;Clair de femme;;
The Clan of the Cave Bear;The Clan of the Cave Bear;;
Ku Klux Klan Trilogy;The Birth of a Nation;The Fall of a Nation;;
Class Reunion;Class Reunion;;
Clean Break;The Killing;;
Clear and Present Danger;Clear and Present Danger;;
The Client;The Client;;
Clockers;Clockers;;
A Clockwork Orange;Vinyl;A Clockwork Orange;;
El Club Dumas;The Ninth Gate;;
Cockfighter;Cockfighter;;
Cocoon;Cocoon;Cocoon: The Return;;
The Code of the West;Code of the West;Code of the West;;
Coins in the Fountain;Three Coins in the Fountain;The Pleasure Seekers;Coins in the Fountain;;
Cold Mountain;Cold Mountain;;
The Color of Money;The Color of Money;;
The Color Purple;The Color Purple;;
The Colors of the Day;The Man Who Understood Women;;
Colossus;Colossus: The Forbin Project;;
The Comfort of Strangers;The Comfort of Strangers;;
Como agua para chocolate;Like Water for Chocolate;;
Compulsion;Compulsion;;
Comrade Jacob;Winstanley;;
Comrades;Bolshevism on Trial;;
The Constant Nymph;The Constant Nymph;The Constant Nymph;The Constant Nymph;;
Cool Hand Luke;Cool Hand Luke;;
The Count of Monte Cristo;The Count of Monte Cristo;The Count of Monte Cristo;The Count of Monte Cristo;The Count of Monte Cristo;The Son of Monte Cristo;The Return of Monte Cristo;El Conde de Monte Cristo;The Count of Monte Cristo;Mask of the Avenger;The Count of Monte Cristo;The Count of Monte Cristo;The Treasure of Monte Cristo;The Return of Monte Cristo;The Count of Monte Cristo;Padayottam;Veta;Uznik Zamka If;
The Comedians;The Comedians;;
Conagher;Conagher;;
La comtesse de Cagliostro;Arsene Lupin;;
Confessions of a Crap Artist;Confessions d'un Barjo;;
Congo;Congo;;
A Connecticut Yankee in King Arthur's Court;A Connecticut Yankee in King Arthur's Court;A Connecticut Yankee;A Connecticut Yankee;Un espanol en la corte del rey Arturo;A Connecticut Rabbit in King Arthur's Court;Unidentified Flying Oddball;Novye priklyucheniya yanki pri dvore korolya Artura;A Kid in King Arthur's Court;A Kid in Aladdin's Palace;A Young Connecticut Yankee in King Arthur's Court;A Knight in Camelot;Black Knight;;
The Constant Gardener;The Constant Gardener;;
Contact;Contact;;
Cool Hand Luke;Cool Hand Luke;;
Cops and Robbers;Cops and Robbers;;
Corazon salvaje;Corazon salvaje;Juan del Diablo;Corazon salvaje;;
Coroner Creek;Coroner Creek;;
The Cowboys;The Cowboys;;
Cracking India;Earth;;
Crash;Crash;;
Creator;Creator;;
O Crime do Padre Amaro;El crimen del Padre Amaro;O Crime do Padre Amaro;;
Crossfire Trail;Crossfire Trail;;
Crouching Tiger, Hidden Dragon;Crouching Tiger, Hidden Dragon;;
The Cruel Sea;The Cruel Sea;;
Cry Wolf;Cry Wolf;;
Cutter and Bone;Cutter's Way;;
Cyborg;The Six Million Dollar Man;;
Cycle of the Werewolf;Silver Bullet;;
The Cypher;Arabesque;;
The Da Vinci Code;The Da Vinci Code;;
William Wharton;Dad;;
Damage;Damage;;
Damnation Alley;Damnation Alley;;
The Damned Utd;The Damned United;;
The Dancer Upstairs;The Dancer Upstairs;;
Michael Blake;Dances with Wolves;;
Derek Marlowe;;
Chris Fuhrman;The Dangerous Lives of Altar Boys;;
Daniel Deronda;Daniel Deronda;Daniel Deronda;Daniel Deronda;;
Danny, the Champion of the World;Danny, the Champion of the World;;
Herminie Templeton Kavanagh;Darby O'Gill and the Little People;;
The Dark Fields;Limitless;;
The Dark Is Rising Sequence;The Seeker: The Dark is Rising;;
Wilbur Smith;Dark of the Sun;;
Dark Passage;Dark Passage;;
David Copperfield;David Copperfield;David Copperfield;David Copperfield;David Copperfield;;;David Copperfield;David Copperfield;David Copperfield;David Copperfield;David Copperfield;David Copperfield;;
The Day of the Jackal;The Day of the Jackal;August 1;The Jackal;;
The Day of the Locust;The Day of the Locust;;
The Day of the Triffids;The Day of the Triffids;The Day of the Triffids;;
Gordon Thomas;When Time Ran Out;;
;The Day They Robbed the Bank of England;;
Louis L'Amour;The Sacketts;;
Dead Calm;Dead Calm;;
;Dressed to Kill;;
The Dead Zone;The Dead Zone;;
Cornell Woolrich;Deadline at Dawn;;
Richard Jessup;The Deadly Duo;;
Deadly, Unna?;Australian Rules;;
Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues;Dealing;;
Dear John;Dear John;;
;The End of the River;;
Death on the Nile;Death on the Nile;Death on the Nile;;
Death Sentence;Death Sentence;;
Death Wish;Death Wish;;
The Deceivers;The Deceivers;;
Michael Noonan;December Boys;;
The Deep;The Deep;;
The Deep End of the Ocean;The Deep End of the Ocean;;
Deliverance;Deliverance;;
Deluge;Deluge;;
The Deluge;The Deluge;;
Demon Seed;Demon Seed;;
D'entre les morts;Vertigo;;
Derailed;Derailed;;
;Desert Fury;;
Zane Grey;Desert Gold;Desert Gold;Desert Gold;;
;Gold of the Seven Saints;;
Desert of the Heart;Desert Hearts;;
The Desperate Hours;The Desperate Hours;Desperate Hours;36 Ghante;;
Destry Rides Again;Destry Rides Again;;
The Detective;The Detective;;
Detective;Detective;;
The Devil Rides Out;The Devil Rides Out;;
The Devil Wears Prada;The Devil Wears Prada;;
The Devil's Advocate;Des Teufels Advokat;;
The Devil's Advocate;The Devil's Advocate;;
Norah Lofts;The Witches;;
The Devils;The Possessed;La femme publique;;
The Devils of Loudun;The Devils;;
Le Diable au corps;Devil in the Flesh;Devil in the Flesh;Devil in the Flesh;;
Wilbur Smith;The Kingfisher Caper;;
Diamonds Are Forever;Diamonds Are Forever;;
;The Glory Guys;;
E. M. Nathanson;The Dirty Dozen;;
Dirty Weekend;Dirty Weekend;;
Terry McMillan;Disappearing Acts;;
Disclosure;Disclosure;;
;Scream and Scream Again;;
Alberto Moravia;Contempt;;
Paul Horgan;A Distant Trumpet;;
Divine Secrets of the Ya-Ya Sisterhood;Divine Secrets of the Ya-Ya Sisterhood;;
Diane Johnson;Le Divorce;;
Do Androids Dream of Electric Sheep?;Blade Runner;;
Richard Gordon;Doctor in the House;;
Doctor Slaughter;Half Moon Street;;
Doctor Zhivago;Doctor Zhivago;Doctor Zhivago;;
Dodsworth;Dodsworth;;
The Dogs of War;The Dogs of War;;
Dog Soldiers;Who'll Stop the Rain;;
Don Quixote;Adventures of the Ingenious Hidalgo Don Quixote;Don Quijote;Don Quichotte;Don Quixote;Don Quixote;Don Quixote;Don Quixote (1933 film);Don Quichotte;Don Quichotte;Don Quixote;Don Quixote de la Mancha;Don Quixote;Don Quixote;Don Quixote's Children;Don Chisciotte e Sancho Panza;Man of La Mancha;The Adventures of Don Quixote;The Amorous Adventures of Don Quixote and Sancho Panza;Don Chisciotte;Don Quixote of La Mancha;Don Quijote de Orson Welles;Don Quixote;Don Quixote, Knight Errant;Don Quixote;The Man Who Killed Don Quixote;;
Donovan's Brain;The Lady and the Monster;Donovan's Brain;The Brain;;
Richard Peck;Gas Food Lodging;;
Don't Say a Word;Don't Say a Word;;
Chet Raymo;Frankie Starlight;;
Double Indemnity;Double Indemnity;;
Roy Huggins;I Love Trouble;;
;Down Will Come Baby;;
Dracula;see the ;;
Gordon R. Dickson;The Flight of Dragons;;
Dragon Seed;Dragon Seed;;
Dragons of Autumn Twilight;Dragonlance: Dragons of Autumn Twilight;;
Dream Days;The Reluctant Dragon;;
The Dream Master;Dreamscape;;
Dreamcatcher;Dreamcatcher;;
Zane Grey;Drift Fence;;
Dr. No;Dr. No;;
Drood;Drood;;
The Drowning Pool;The Drowning Pool;;
Drums Along the Mohawk;Drums Along the Mohawk;;
The Drums of Jeopardy;The Drums of Jeopardy;The Drums of Jeopardy;;
Zane Grey;The Dude Ranger;;
