Raymond Briggs,The Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Creatures,Beautiful Creatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because of Winn-Dixie,Because of Winn-Dixie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben-Hur: A Tale of the Christ,Ben Hur,Ben-Hur,Ben-Hur,Ben Hur,Ben Hur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The BFG,The BFG,The BFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Fish: A Novel of Mythic Proportions,Big Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyd C. Douglas,The Big Fisherman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Kjelgaard,Big Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biggles,Biggles: Adventures in Time,It Couldn't Happen Here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Arrow: A Tale of the Two Roses,The Black Arrow,The Black Arrow,The Black Arrow,Black Arrow,Chyornaya strela,The Black Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Beauty,Black Beauty,Black Beauty,Black Beauty,Courage of Black Beauty,Black Beauty,Black Beauty,Black Beauty,Black Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Stallion,The Black Stallion,The Black Stallion,The Black Stallion Returns,The Young Black Stallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Stahl,Blackbeard's Ghost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Book Thief,The Book Thief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Borrowers,The Borrowers,The Borrowers,The Borrower Arrietty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brave Little Toaster,The Brave Little Toaster,The Brave Little Toaster Goes to Mars,The Brave Little Toaster to the Rescue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul St. Pierre,Smith!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge to Terabithia,Bridge to Terabithia,Bridge to Terabithia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Brothers Lionheart,The Brothers Lionheart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Butter Battle Book,The Butter Battle Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By the Great Horn Spoon!,The Adventures of Bullwhip Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Call of the Wild,The Call of the Wild,The Call of the Wild,"What a Nightmare, Charlie Brown!",The Call of the Wild,The Call of the Wild: Dog of the Yukon,Call of the Wild,Disney's The Call of the Wild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbie,The Love Bug,Herbie Rides Again,Herbie Goes to Monte Carlo,Herbie Goes Bananas,The Love Bug,Herbie: Fully Loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cat in the Hat,The Cat in the Hat,The Grinch Grinches the Cat in the Hat,The Cat in the Hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudyard Kipling,The Cat Who Walked by Herself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie and the Chocolate Factory,Willy Wonka &amp, the Chocolate Factory,Charlie and the Chocolate Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte's Web,Charlotte's Web,Charlotte's Web 2: Wilbur's Great Adventure,Charlotte's Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowball Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cheetah Girls,The Cheetah Girls,The Cheetah Girls,The Cheetah Girls 2,The Cheetah Girls: One World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitty Chitty Bang Bang: The Magical Car,Chitty Chitty Bang Bang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Paul Evans,The Christmas Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chronicles of Narnia,"The Lion, the Witch and the Wardrobe","The Lion, the Witch and the Wardrobe",The Chronicles of Narnia,"The Lion, the Witch and the Wardrobe",Prince Caspian and The Voyage of the Dawn Treader,The Silver Chair,The Chronicles of Narnia,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Silver Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chronicles of Prydain,The Black Cauldron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirque du Freak,Cirque du Freak: The Vampire's Assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The City of Ember,City of Ember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clifford the Big Red Dog,Clifford's Really Big Movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confessions of a Teenage Drama Queen,Confessions of a Teenage Drama Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Connecticut Yankee in King Arthur's Court,A Connecticut Yankee in King Arthur's Court,A Connecticut Yankee,A Connecticut Yankee in King Arthur's Court,A Connecticut Yankee,Un espaÌÄå±ol en la corte del rey Arturo,A Connecticut Rabbit in King Arthur's Court,Unidentified Flying Oddball,Novye priklyucheniya yanki pri dvore korolya Artura,A Connecticut Yankee in King Arthur's Court,A Kid in King Arthur's Court,A Kid in Aladdin's Palace,A Young Connecticut Yankee in King Arthur's Court,A Knight in Camelot,Black Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coraline,Coraline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Count of Monte Cristo,The Count of Monte Cristo,The Count of Monte Cristo,The Count of Monte Cristo,The Count of Monte Cristo,The Son of Monte Cristo,The Return of Monte Cristo,El Conde de Monte Cristo,The Count of Monte Cristo,Mask of the Avenger,The Count of Monte Cristo,The Count of Monte Cristo,The Treasure of Monte Cristo,The Return of Monte Cristo,The Count of Monte Cristo,The Count of Monte Cristo,The Count of Monte Cristo,Padayottam,Veta,Uznik Zamka If,The Count of Monte Cristo,The Count of Monte Cristo,,,,,,,,,,,,,,,,,,,,,
Curious George,Curious George,Curious George 2: Follow That Monkey!,Curious George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daisy-Head Mayzie,Daisy-Head Mayzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danny, the Champion of the World","Danny, the Champion of the World",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Day with Wilbur Robinson,Meet the Robinsons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dark is Rising Sequence,The Seeker: The Dark is Rising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Copperfield,David Copperfield,David Copperfield,David Copperfield,David Copperfield,,,David Copperfield,David Copperfield,David Copperfield,David Copperfield,David Copperfield,David Copperfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diary of a Wimpy Kid,Diary of a Wimpy Kid,Diary of a Wimpy Kid,Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid: Dog Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divergent trilogy,Divergent,The Divergent Series: Insurgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Dolittle,Doctor Dolittle,Dr. Dolittle,Dr. Dolittle 2,Dr. Dolittle 3,Dr. Dolittle: Tail to the Chief,Dr. Dolittle Million Dollar Mutts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Quixote,Adventures of the Ingenious Hidalgo Don Quixote,Don Quijote,Don Quichotte,Don Quixote,Don Quixote,Don Quixote,Don Quixote,Don Quichotte,Don Quichotte,Don Quixote,Don Quixote de la Mancha,Don Quixote,Don Quixote,Don Quixote's Children,Don Chisciotte e Sancho Panza,Man of La Mancha,The Adventures of Don Quixote,The Amorous Adventures of Don Quixote and Sancho Panza,Don Chisciotte,Don Quixote of La Mancha,Don Quijote de Orson Welles,Don Quixote,"Don Quixote, Knight Errant",Don Quixote,The Man Who Killed Don Quixote,,,,,,,,,,,,,,,,,
Dream Days,The Reluctant Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Aberson,Dumbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eagle of the Ninth,The Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ella Enchanted,Ella Enchanted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eloise,Eloise at the Plaza,Eloise at Christmastime,Eloise in Paris,Eloise in Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enders Game,Enders Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eragon,Eragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escape to Witch Mountain,Escape to Witch Mountain,Return from Witch Mountain,Beyond Witch Mountain,Escape to Witch Mountain,Race to Witch Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethel and Ernest,Ethel and Ernest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Pennac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Face on the Milk Carton,The Face on the Milk Carton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Father Christmas,Father Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantastic Mr Fox,Fantastic Mr. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fault in Our Stars,The Fault in Our Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flipped,Flipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freak the Mighty,The Mighty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freaky Friday,Freaky Friday,A Billion for Boris,Summer Switch,Freaky Friday,Freaky Friday,Freaky Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ghosts,The Amazing Mr Blunden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Giver,The Giver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksey Nikolayevich Tolstoy,The Adventures of Buratino,The Adventures of Buratino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnomes,Gnomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upton Sinclair,The Gnome-Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,Great Expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Burningham,Granpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Eggs and Ham,Dr. Seuss on the Loose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary O'Hara,Green Grass of Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul van Loon,Gruesome School Trip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Guardians of Childhood,Rise of the Guardians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardians of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Guerre des boutons,War of the Buttons,War of the Buttons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kir Bulychev,Guest from the Future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulliver's Travels,The New Gulliver,Gulliver's Travels,The Three Worlds of Gulliver,Gulliver's Travels Beyond the Moon,Gulliver's Travels,Gulliver's Travels,Gulliver's Travels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hans Brinker, or The Silver Skates","Hans Brinker, or The Silver Skates","Hans Brinker, or The Silver Skates",Hans Brinker,Brink!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harriet the Spy,Harriet the Spy,Harriet the Spy: Blog Wars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Potter and the Deathly Hallows Part 1,Harry Potter and the Deathly Hallows Part 1,Harry Potter and the Deathly Hallows Part 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet,A Cry in the Wild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heidi,Heidi,Heidi,Heidi and Peter,Heidi,Heidi,The Story of Heidi,Heidi's Song,Heidi,Heidi,Heidi,Nelvana,Heidi,Paul Marcus,Heidi 4 Paws,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hare Tokidoki Buta,Hare Tokidoki Buta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Bass,Monte Carlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Here Be Monsters!,The Boxtrolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoot,Hoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horrid Henry,Horrid Henry: The Movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horton Hatches the Egg,Horton Hatches the Egg,I Am Waiting for a Nestling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horton Hears a Who!,Horton Hears a Who!,Horton Hears a Who!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel for Dogs,Hotel for Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Salten,The Shaggy Dog,The Shaggy D.A.,The Shaggy Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How My Private, Personal Journal Became A Bestseller",Read it and Weep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,Halloween is Grinch Night,The Grinch Grinches the Cat in the Hat,How the Grinch Stole Christmas!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Eat Fried Worms,How to Eat Fried Worms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Train Your Dragon,How To Train Your Dragon,How To Train Your Dragon 2,How to Train Your Dragon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howl's Moving Castle,Howl's Moving Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hundred and One Dalmatians,One Hundred and One Dalmatians,101 Dalmatians II: Patch's London Adventure,101 Dalmatians,102 Dalmatians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hunger Games trilogy,The Hunger Games (film series),The Hunger Games,The Hunger Games: Catching Fire,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Capture the Castle,I Capture the Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Want a Dog,I Want a Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If I Stay,If I Stay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Incredible Journey,The Incredible Journey,Homeward Bound: The Incredible Journey,Homeward Bound II: Lost in San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Indian in the Cupboard,The Indian in the Cupboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inkheart,Inkheart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Invention of Hugo Cabret,Hugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Iron Man,The Iron Giant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Island of the Blue Dolphins,Island of the Blue Dolphins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Island on Bird Street,The Island on Bird Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Two Two Meets the Hooded Fang,Jacob Two Two Meets the Hooded Fang,Jacob Two Two Meets the Hooded Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James and the Giant Peach,James and the Giant Peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Tremain,Johnny Tremain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan McDonald,Judy Moody and the Not Bummer Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumanji,Jumanji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jungle Book,Elephant Boy,Jungle Book,The Jungle Book,The Jungle Book 2,Adventures of Mowgli,The Jungle Book,The Second Jungle Book: Mowgli &amp, Baloo,Jungle Book: Mowgli's Story,Mowgli: The New Adventures of the Jungle Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Morgan Had a Horse,Justin Morgan Had a Horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaytek the Wizard,Kaytek the Wizard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Matt the First,King Matt the First,King Matt the First,Little King Macius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The King's Damosel,Quest for Camelot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassie Come-Home,Lassie,Lassie Come Home,Son of Lassie,Courage of Lassie,Hills of Home,The Sun Comes Up,Challenge to Lassie,The Painted Hills,Lassie's Great Adventure,The Magic of Lassie,Lassie,Lassie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Unicorn,The Last Unicorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Joyce,Epic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemonade Mouth,Lemonade Mouth,Lemonade Mouth 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Lord Fauntleroy,Little Lord Fauntleroy,Little Lord Fauntleroy,Little Lord Fauntleroy,Little Lord Fauntleroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Little Princess,The Little Princess,A Little Princess,A Little Princess,A Little Princess,A Little Princess,"Sarah, Ang Munting Princesa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Men,Little Men,Little Men,Little Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Toot,Melody Time,The New Adventures of Little Toot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Little White Horse,The Secret of Moonacre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Women,Little Women,Little Women,Little Women,Little Women,Little Women,Little Women,Mujercitas,Little Women,Quattro piccole donne,Little Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Littles,The Littles,Here Come the Littles,Liberty and the Littles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest Thompson Seton,The Legend of Lobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lorax,The Lorax,The Lorax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
